yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6865,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6919,aeronautica_6922
1961,NA,-1.46,-1.46,9.36,-1.5,-0.73,1.4499999999999993,-6.5,13.24,NA,NA,NA,-2.41,-3.62,NA,-8.77,6.38,-3.120000000000001,0,8.93,-0.14000000000000057,-4.460000000000001,3.8999999999999986,NA,4.28,1.74,0.25,NA,3.8599999999999994,20.590000000000003,0.6800000000000068,-2.030000000000001,2.3599999999999994,6.219999999999999,8.180000000000007,NA,NA,6.259999999999998,18.89,-8,0.4800000000000004,-18.17,NA,-8.54,NA,28.89
1962,NA,NA,-0.45999999999999996,8.36,8.5,6.27,24.45,23.5,11.24,NA,NA,NA,5.59,-6.62,NA,14.23,-2.62,17.88,8,6.93,NA,9.54,33.9,NA,0.28000000000000025,-1.26,1.25,NA,18.86,-0.4099999999999966,8.680000000000007,6.969999999999999,14.36,-4.780000000000001,5.180000000000007,-10.07,NA,NA,2.8900000000000006,0,15.48,-6.170000000000002,16.86,NA,-4.809999999999999,12.89
1963,NA,2.54,-0.45999999999999996,9.36,-0.5,1.27,15.45,10.5,5.24,NA,NA,NA,4.59,-2.62,NA,9.23,-1.62,1.879999999999999,1,-0.07000000000000028,3.8599999999999994,1.5399999999999991,6.899999999999999,NA,12.280000000000001,1.74,-0.75,NA,7.859999999999999,0.5900000000000034,0.6800000000000068,6.969999999999999,3.3599999999999994,-11.780000000000001,-0.8199999999999932,1.9299999999999997,NA,7.259999999999998,9.89,8,11.48,-9.170000000000002,-7.140000000000001,1.4600000000000009,22.19,-3.1099999999999994
1964,-0.58,NA,-0.45999999999999996,3.3600000000000003,-4.5,-3.73,-12.55,2.5,8.24,-0.67,NA,NA,4.59,-0.6200000000000001,NA,5.23,-4.62,-9.120000000000001,-4,-0.07000000000000028,0.8599999999999994,NA,-4.100000000000001,9.96,10.280000000000001,1.74,-4.75,2.31,1.8599999999999994,9.590000000000003,-0.3199999999999932,-4.030000000000001,-6.640000000000001,0.21999999999999886,3.180000000000007,0.9299999999999997,NA,-12.740000000000002,8.89,3,-5.52,-11.170000000000002,-7.140000000000001,-12.54,10.190000000000001,8.89
1965,NA,NA,NA,4.36,-11.5,3.27,8.45,-1.5,-0.7599999999999998,0.32999999999999996,-2.12,-6.67,-3.41,-4.62,-4.039999999999999,-1.7699999999999996,-4.62,1.879999999999999,6,NA,9.86,NA,-9.100000000000001,-17.04,-3.7199999999999998,0.74,-0.75,0.31000000000000005,-0.14000000000000057,-14.409999999999997,4.680000000000007,-14.030000000000001,-9.64,-14.780000000000001,NA,-4.07,5,2.259999999999998,0.8900000000000006,4,-3.5199999999999996,-30.17,-7.140000000000001,3.460000000000001,13.190000000000001,-8.11
1966,-0.58,-2.46,-4.46,-3.6399999999999997,-6.5,-3.73,1.4499999999999993,7.5,-7.76,-0.67,-6.12,-3.67,-2.41,-2.62,0.9600000000000009,-5.77,-4.62,18.88,-3,-5.07,-4.140000000000001,-1.4600000000000009,4.899999999999999,-22.04,-4.72,-1.26,-6.75,0.31000000000000005,16.86,11.590000000000003,7.680000000000007,-4.030000000000001,4.359999999999999,13.219999999999999,9.180000000000007,-15.07,-2,NA,-2.1099999999999994,-7,-3.5199999999999996,0.8299999999999983,-13.14,-0.5399999999999991,-2.8099999999999987,4.890000000000001
1967,-0.58,2.54,-0.45999999999999996,3.3600000000000003,1.5,-0.73,6.449999999999999,0.5,10.24,-0.67,0.8799999999999999,3.33,2.59,3.38,4.960000000000001,7.23,5.38,-3.120000000000001,7,3.9299999999999997,10.86,7.539999999999999,10.899999999999999,6.960000000000001,-0.7199999999999998,0.74,0.25,5.3100000000000005,13.86,4.590000000000003,-4.319999999999993,-1.0300000000000011,2.3599999999999994,-7.780000000000001,-3.819999999999993,-0.07000000000000028,-3,-11.740000000000002,-0.10999999999999943,3,1.4800000000000004,7.829999999999998,-6.140000000000001,6.460000000000001,3.1900000000000013,1.8900000000000006
1968,-0.58,1.54,-1.46,-1.6399999999999997,-4.5,-2.73,-2.5500000000000007,-13.5,-3.76,-0.67,-3.12,-1.67,-1.4100000000000001,0.3799999999999999,-4.039999999999999,-15.77,2.38,-6.120000000000001,2,0.9299999999999997,-7.140000000000001,-4.460000000000001,-10.100000000000001,-15.04,-4.72,-1.26,-1.75,2.31,1.8599999999999994,-16.409999999999997,-12.319999999999993,-16.03,-15.64,2.219999999999999,-17.819999999999993,-1.0700000000000003,-2,-18.740000000000002,-3.1099999999999994,-7,-7.52,9.829999999999998,-6.140000000000001,-8.54,2.1900000000000013,-7.109999999999999
1969,-0.58,0.54,-5.46,-5.64,1.5,-0.73,-7.550000000000001,-19.5,NA,-0.67,0.8799999999999999,4.33,-1.4100000000000001,-1.62,6.960000000000001,-0.7699999999999996,-1.62,-5.120000000000001,-3,0.9299999999999997,-6.140000000000001,-3.460000000000001,-12.100000000000001,0.9600000000000009,2.2800000000000002,1.74,-1.75,-1.69,13.86,-15.409999999999997,-12.319999999999993,-3.030000000000001,-10.64,-13.780000000000001,-19.819999999999993,2.9299999999999997,3,-18.740000000000002,-4.109999999999999,0,-8.52,2.8299999999999983,-12.14,-5.539999999999999,-1.8099999999999987,-13.11
1970,0.42000000000000004,-0.45999999999999996,-3.46,-1.6399999999999997,-3.5,-1.73,19.45,-1.5,2.24,0.32999999999999996,0.8799999999999999,3.33,-2.41,1.38,2.960000000000001,17.23,-4.62,18.88,-1,0.9299999999999997,3.8599999999999994,NA,-13.100000000000001,3.960000000000001,-2.7199999999999998,-0.26,0.25,-1.69,20.86,-0.4099999999999966,-11.319999999999993,-0.030000000000001137,13.36,2.219999999999999,-5.819999999999993,7.93,1,-10.740000000000002,-3.1099999999999994,-5,3.4800000000000004,12.829999999999998,-2.1400000000000006,7.460000000000001,12.190000000000001,12.89
1971,0.42000000000000004,2.54,11.54,2.3600000000000003,-1.5,1.27,13.45,0.5,2.24,-0.67,NA,NA,0.5899999999999999,7.38,NA,6.23,2.38,NA,1,1.9299999999999997,10.86,1.5399999999999991,0.8999999999999986,24.96,2.2800000000000002,0.74,2.25,1.31,20.86,-8.409999999999997,-6.319999999999993,0.9699999999999989,0.35999999999999943,-9.780000000000001,-13.819999999999993,5.93,NA,-2.740000000000002,-8.11,2,4.48,5.829999999999998,-6.140000000000001,2.460000000000001,4.190000000000001,1.8900000000000006
1972,0.42000000000000004,NA,-1.46,-4.64,-4.5,-3.73,-5.550000000000001,-7.5,-4.76,-0.67,NA,NA,-4.41,-0.6200000000000001,NA,-3.7699999999999996,-0.6200000000000001,-12.120000000000001,-3,-1.0700000000000003,-5.140000000000001,NA,-7.100000000000001,-18.04,-3.7199999999999998,-0.26,-4.75,0.31000000000000005,-12.14,-24.409999999999997,-16.319999999999993,-8.030000000000001,NA,NA,-6.819999999999993,-4.07,NA,-12.740000000000002,NA,-11,-1.5199999999999996,-11.170000000000002,-10.14,-2.539999999999999,-7.809999999999999,-17.11
1973,1.42,-0.45999999999999996,-0.45999999999999996,-0.6399999999999997,4.5,2.27,-8.55,-8.5,-2.76,1.33,1.88,-4.67,-2.41,0.3799999999999999,2.960000000000001,1.2300000000000004,NA,-13.120000000000001,-1,6.93,4.859999999999999,NA,1.8999999999999986,24.96,3.2800000000000002,-1.26,4.25,9.31,-7.140000000000001,7.590000000000003,18.680000000000007,19.97,-0.6400000000000006,13.219999999999999,0.18000000000000682,12.93,3,14.259999999999998,14.89,-3,-3.5199999999999996,12.829999999999998,2.8599999999999994,NA,-2.8099999999999987,26.89
1974,-0.58,-1.46,3.54,-1.6399999999999997,2.5,0.27,2.4499999999999993,12.5,-6.76,-0.67,-0.1200000000000001,0.33000000000000007,-3.41,4.38,2.960000000000001,0.23000000000000043,NA,-3.120000000000001,-3,7.93,12.86,4.539999999999999,1.8999999999999986,-3.039999999999999,-3.7199999999999998,-0.26,1.25,1.31,-2.1400000000000006,2.5900000000000034,3.680000000000007,17.97,-0.6400000000000006,-12.780000000000001,-13.819999999999993,-10.07,-6,0.259999999999998,-17.11,1,4.48,-15.170000000000002,-6.140000000000001,3.460000000000001,-17.81,3.8900000000000006
1975,-0.58,-1.46,-4.46,0.3600000000000003,-4.5,-0.73,-8.55,2.5,-5.76,-0.67,2.88,-3.67,-3.41,0.3799999999999999,-5.039999999999999,-3.7699999999999996,NA,-11.120000000000001,-1,-0.07000000000000028,-6.140000000000001,-5.460000000000001,14.899999999999999,9.96,-0.7199999999999998,-1.26,-1.75,-2.69,-4.140000000000001,1.5900000000000034,3.680000000000007,5.969999999999999,12.36,-3.780000000000001,3.180000000000007,-16.07,-1,-6.740000000000002,2.8900000000000006,-8,-1.5199999999999996,-15.170000000000002,-8.14,-6.539999999999999,-5.809999999999999,10.89
1976,0.42000000000000004,NA,NA,-7.64,-1.5,-3.73,-16.55,-15.5,-8.76,NA,-4.12,0.33000000000000007,-0.41000000000000014,-5.62,-0.03999999999999915,-10.77,NA,-17.12,-4,-3.0700000000000003,-12.14,-8.46,-7.100000000000001,-6.039999999999999,-4.72,-1.26,-5.75,-2.69,-19.14,-16.409999999999997,-28.319999999999993,-8.030000000000001,-27.64,-0.7800000000000011,-9.819999999999993,-11.07,-6,-11.740000000000002,-27.11,-6,-14.52,-1.1700000000000017,-11.14,-20.54,-17.81,-16.11
1977,-0.58,-1.46,-6.46,4.36,-4.5,-1.73,-10.55,5.5,-10.76,-0.67,-4.12,-9.67,-5.41,-1.62,-8.04,-15.77,-2.62,20.88,-2,-7.07,-12.14,-6.460000000000001,-10.100000000000001,-22.04,-3.7199999999999998,-0.26,-3.75,-2.69,-9.14,1.5900000000000034,1.6800000000000068,1.9699999999999989,8.36,-9.780000000000001,-3.819999999999993,-13.07,-5,-8.740000000000002,-7.109999999999999,-13,-8.52,-7.170000000000002,21.86,-11.54,-15.809999999999999,NA
1978,-0.58,-1.46,-5.46,-3.6399999999999997,-3.5,-1.73,-11.55,NA,-3.76,-0.67,-2.12,-6.67,-1.4100000000000001,-4.62,-13.04,-17.77,-4.62,-20.12,-3,-4.07,-8.14,-4.460000000000001,-13.100000000000001,-13.04,0.28000000000000025,-1.26,-6.75,-2.69,-15.14,-30.409999999999997,-27.319999999999993,-27.03,-24.64,-1.7800000000000011,-15.819999999999993,-20.07,-5,-9.740000000000002,-37.11,-15,-4.52,-15.170000000000002,25.86,-0.5399999999999991,-3.8099999999999987,-25.11
1979,-0.58,-0.45999999999999996,-2.46,-5.64,-7.5,-1.73,1.4499999999999993,-3.5,-6.76,-0.67,-3.12,2.33,-0.41000000000000014,-6.62,-5.039999999999999,-2.7699999999999996,-0.6200000000000001,-5.120000000000001,2,-5.07,-6.140000000000001,-5.460000000000001,-5.100000000000001,-2.039999999999999,1.2800000000000002,1.74,0.25,-2.69,-7.140000000000001,-0.4099999999999966,-1.3199999999999932,-8.030000000000001,-7.640000000000001,14.219999999999999,10.180000000000007,8.93,-2,-3.740000000000002,7.890000000000001,0,8.48,0.8299999999999983,-1.1400000000000006,10.46,-2.8099999999999987,-20.11
1980,-0.58,-2.46,-4.46,NA,-5.5,-0.73,-6.550000000000001,-7.5,-8.76,NA,0.8799999999999999,-1.67,-0.41000000000000014,-1.62,-8.04,-6.77,1.38,NA,-1,-0.07000000000000028,-4.140000000000001,-2.460000000000001,-6.100000000000001,-18.04,-2.7199999999999998,-1.26,0.25,-1.69,-7.140000000000001,-4.409999999999997,-10.319999999999993,-13.030000000000001,-16.64,-3.780000000000001,-2.819999999999993,-17.07,-6,-22.740000000000002,-25.11,-9,3.4800000000000004,-5.170000000000002,-16.14,NA,-18.81,-16.11
1981,-0.58,0.54,-0.45999999999999996,-5.64,-4.5,-0.73,-7.550000000000001,-14.5,-5.76,0.32999999999999996,-1.12,0.33000000000000007,0.5899999999999999,-3.62,-0.03999999999999915,-7.77,2.38,-10.120000000000001,-3,-4.07,-9.14,-3.460000000000001,-2.1000000000000014,NA,-1.7199999999999998,NA,1.25,-1.69,-12.14,13.590000000000003,-5.319999999999993,-15.030000000000001,18.36,NA,3.180000000000007,-8.07,-5,-12.740000000000002,-3.1099999999999994,-3,-5.52,NA,NA,-3.539999999999999,-11.809999999999999,-15.11
1982,NA,1.54,9.54,8.36,6.5,-0.73,15.45,-0.5,6.24,2.33,1.88,11.33,4.59,5.38,11.96,0.23000000000000043,-2.62,13.879999999999999,3,-5.07,5.859999999999999,8.54,11.899999999999999,16.96,1.2800000000000002,1.74,17.25,0.31000000000000005,7.859999999999999,26.590000000000003,20.680000000000007,19.97,27.36,9.219999999999999,16.180000000000007,12.93,10,24.259999999999998,15.89,13,NA,-3.1700000000000017,9.86,6.460000000000001,40.19,18.89
1983,0.42000000000000004,3.54,7.54,4.36,2.5,1.27,NA,NA,5.24,0.32999999999999996,9.879999999999999,9.33,13.59,9.379999999999999,6.960000000000001,0.23000000000000043,4.38,3.879999999999999,4,10.93,-0.14000000000000057,3.539999999999999,-8.100000000000001,11.96,-0.7199999999999998,-0.26,6.25,5.3100000000000005,-2.1400000000000006,0.5900000000000034,6.680000000000007,0.9699999999999989,-3.6400000000000006,-8.780000000000001,-0.8199999999999932,7.93,-2,22.259999999999998,-2.1099999999999994,10,14.48,-3.1700000000000017,-4.140000000000001,-2.539999999999999,NA,4.890000000000001
1984,-0.58,-2.46,-4.46,-2.6399999999999997,0.5,1.27,-2.5500000000000007,-21.5,-10.76,-0.67,-6.12,-9.67,-3.41,-5.62,-11.04,-11.77,NA,-7.120000000000001,-1,-7.07,-2.1400000000000006,-0.46000000000000085,-10.100000000000001,-16.04,-4.72,-1.26,-7.75,-2.69,-14.14,-13.409999999999997,NA,-17.03,-16.64,-19.78,-8.819999999999993,1.9299999999999997,-6,-0.740000000000002,-10.11,-18,-2.5199999999999996,-6.170000000000002,-14.14,3.460000000000001,-18.81,-21.11
1985,1.42,-1.46,NA,-0.6399999999999997,8.5,14.27,-1.5500000000000007,NA,4.24,-0.67,0.8799999999999999,5.33,2.59,5.38,12.96,13.23,4.38,2.879999999999999,-1,1.9299999999999997,10.86,8.54,16.9,4.960000000000001,0.28000000000000025,NA,NA,-1.69,-1.1400000000000006,10.590000000000003,-2.319999999999993,-4.030000000000001,-2.6400000000000006,3.219999999999999,21.180000000000007,8.93,-5,-3.740000000000002,-1.1099999999999994,12,13.48,6.829999999999998,-4.140000000000001,11.46,-14.809999999999999,NA
1986,0.42000000000000004,-0.45999999999999996,6.54,1.3600000000000003,3.5,-0.73,-11.55,19.5,-0.7599999999999998,-0.67,5.88,4.33,-3.41,6.38,3.960000000000001,8.23,NA,NA,-3,-4.07,-0.14000000000000057,0.5399999999999991,-18.1,1.9600000000000009,-0.7199999999999998,-0.26,-2.75,-1.69,-3.1400000000000006,21.590000000000003,3.680000000000007,16.97,8.36,21.22,18.180000000000007,12.93,0,-0.740000000000002,1.8900000000000006,-8,1.4800000000000004,3.8299999999999983,-0.14000000000000057,-0.5399999999999991,17.19,2.8900000000000006
