yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,emiliaromagna_9224,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1961,NA,-4.098077468115258,-6.431015588096363,-4.422153991497402,-4.197491733585263,-2.57258384506377,-1.956348606518656,-6.414936230514879,-6.441620217288616,NA,-3.4539489844119027,-1.5963486065186565,-3.353948984411903,-4.178630136986301,NA,NA,NA,-5.182706660368445,-5.9413084553613595,NA,-5.0428105810108645,-7.043486065186585,1.87087387812943,-3.0815824279641033,-1.635640056683986,-2.463689182805858,-2.4782144544166282,-4.3419981105337735,-1.4583514407179958,NA,-6.064832309872461,-5.758960793575815,NA,-4.866575342465753,-5.502914501653284,-6.002517713745867,NA,-6.029149740198395,-4.734917335852623,-6.199305621162021,-4.330840812470477,-3.5007888521492676,-4.985625885687294,-5.510755786490316,NA,NA,1.9642418516769027,-5.340255077940483,-5.12954652810581,-3.963051487954653,1.6409258384506362,NA,-4.808337269721302,-6.079201700519602,-5.2389418989135565,NA,-6.581015588096362
1962,NA,NA,2.3455550307038244,1.6902692489371738,3.218663202645253,9.39718469532357,8.02003306565895,5.819357581483226,3.0907368918280618,NA,9.422763344355216,6.405540859707127,0.5572461029759115,2.557316957959374,5.357439773264055,NA,NA,2.1956589513462497,1.5315304676428916,NA,2.345002361832778,-0.5248275862068965,14.445271610769955,11.571228153046766,8.71863486065186,3.233051487954649,NA,2.7812895606991024,3.7565753424657515,2.1346386395843187,3.3730514879546494,2.4035333018422307,NA,3.862758620689659,1.639267831837504,2.452843646669816,NA,1.4342418516769015,3.427576759565424,0.22487954652810593,3.312050070854987,1.9030845536136063,0.30487954652810423,-1.1555361360415688,-2.623136513934811,NA,NA,-1.3251393481341527,-1.7662966461974499,1.5541898913556942,8.357978271138407,8.389636277751526,NA,3.7554700047236675,5.257042985356637,2.1988190836088783,1.9404770902220143
1963,NA,3.3086301369863023,1.4952952290977795,0.24482758620689715,2.8880066131317914,7.526613131790267,7.368167217760984,1.7286632026452526,6.8129853566367515,NA,4.632966461974492,NA,0.2549315068493172,3.3697874350496004,4.450495984884272,NA,NA,9.725181861124225,4.375177137458667,NA,4.990255077940484,3.2729995276334485,7.501483230987239,8.944870099196985,7.084246575342462,9.695025980160597,6.402276806802078,2.762394898441192,4.6918611242324,5.346731223429384,5.120807746811526,2.923136513934816,NA,6.715852621634392,2.612342938119985,0.8279026924893742,NA,0.6595606991025029,0.6406140765233825,0.26266887104393355,-1.5249834671705234,0.5332215399149725,4.603415210203121,-1.1838781294284395,3.0641568256967417,NA,15.993528578176663,-1.759716580066133,-0.812116202172886,0.5338781294284374,15.556844591402928,4.091100614076524,6.122224846480869,5.682725555030702,3.981653282947569,4.9574397732640545,0.6272980632971183
1964,-1.7116242698322974,NA,-2.635511588468062,-2.1859242509892605,-3.5787431693989076,-4.751716600716034,0.43284529866214605,-2.100964763519878,-5.726514038062937,NA,1.0207819860561536,1.706732617297913,-5.474281138119465,-5.430065950631244,-3.135349538345583,NA,NA,2.7252515545505958,0.32970604861503894,NA,-2.5041888072357272,0.3909440361786345,1.2540870548332403,-0.08732052006783597,0.9783022423214636,0.699127567363858,-2.970224232146223,NA,-6.071307706802335,-3.606344450725458,0.6883832673827026,-0.12476351987940504,-1.8750951573393628,-5.08014697569248,-5.639074806858863,-4.912460900697192,-4.264277369511964,-2.612287544752215,-1.952368569813455,-1.838897682306385,-1.5311268136423628,-0.051454682494815884,-3.417084982099116,-4.063533069530808,-4.6703938194837,NA,7.866836254004143,-3.685268513284343,-5.341388731863576,-5.421967213114754,1.3534275485208198,-2.7037761447145288,4.070708498209912,-4.3483267382702095,-2.7284039947239487,-3.7708875070661385,-3.5392330883738436
1965,NA,NA,NA,-1.3801133679735464,-0.18237600377893237,-2.4214265470004754,-5.158993859234766,-4.638837978271138,-3.0027916863486057,2.4022909777987724,NA,6.358304204062346,-0.34969768540387314,0.11990552668871146,2.66495040151157,4.776178554558337,-1.6991639111950843,1.4965564478034992,0.19945677846008714,0.8732735002361807,-3.2478176665092127,-3.3873689182805844,-2.2953991497401995,2.8229995276334474,0.546693434104867,NA,-2.90334435521965,NA,-4.623207368918281,NA,2.267713745866793,2.214586679263112,8.57863486065186,2.3606329711856446,-1.3649834671705232,-0.041251771374586355,0.6744827586206927,-0.8520122815304685,5.373726972130374,6.186145488899385,-3.234950401511572,-0.8649834671705232,0.34266887104393184,NA,0.5606140765233842,7.401171469059992,16.59815777042985,-1.457401983939537,-0.027987718469532297,-2.6026358053849776,-3.725158242796411,1.6820311761927247,3.1274208786017983,9.593920642418519,NA,2.246055739253661,-0.05290977798771479
1966,-2.8782664147378325,-0.9426688710439333,-0.5831176192725547,0.45266887104393305,-2.2041048653755304,-4.528181388757675,-4.998389230042513,-2.012479924421351,3.024605573925367,0.8812706660368423,-0.40246102975909004,-0.9066934341048647,0.33051015588096533,0.21437883797826984,1.1817194142654692,1.6302172886159667,-0.565484175720357,-0.5157250826641473,0.15222012281530262,-0.9689560699102486,0.10598488427019426,NA,-6.697855455833727,-4.054657534246575,-0.624775625885686,1.2302172886159664,-2.336504487482288,-2.0557439773264043,-2.5070051960321216,NA,0.8695087387812972,1.2037222484648105,3.9022059518186136,1.255295229097781,0.9779546528105811,0.5539300897496471,1.2980066131317916,-2.486400566839867,-1.0599055266887092,-0.4742229570146428,-3.584501653282949,-1.9986632026452504,-0.4886962683042082,-3.1394756731223445,-3.6245536136041556,3.5750023618327784,NA,0.2242229570146428,-2.0591639111950837,-1.6956920170052001,1.310269248937173,-4.572102031176192,-0.056329711856399456,NA,3.556523382144544,-3.053897024090694,-3.718474256022673
1967,-2.708214454416627,2.080477090222013,-0.09185640056684363,1.2745866792631126,-4.764331601322624,-3.791289560699104,-1.5973500236183256,0.6327727916863513,-3.7113415210203122,0.21995748700991946,-1.6778507321681602,NA,-1.218852149267832,-2.770977798771847,0.9644307982994818,-2.895054322153994,-3.985418044402457,-3.41605573925366,-3.655054322153994,-3.5386301369863,-0.2908030231459602,-2.480425129900804,-3.929787435049599,2.3128436466698155,1.6236891828058582,-4.967231931979216,-0.5981955597543696,3.0552621634388295,-0.23019839395370667,-7.756717052432688,-2.1725318847425594,1.2698535663675017,-2.8809777987718466,-3.090477090222013,-1.4689041095890403,-0.07904109589041042,1.1846386395843194,1.4625838450637705,0.09266887104393184,4.2116532829475695,2.7074208786017984,6.57951346244686,0.7394567784600845,-0.05964572508266208,0.26774681152574864,-0.4779026924893728,-4.7433632498819085,-0.796088804912614,-0.1885923476617819,-2.3286632026452505,2.3305810108644316,9.447737364194614,2.1826877657061896,2.6217902692489403,2.215002361832779,-2.9121870571563537,-2.4619792158715175
1968,0.8039212361032622,-0.15823063877897425,1.217889579800266,2.2704541172036983,-0.5638571697757655,-2.744933107216882,-2.732785000942152,2.9112832108535915,6.512038816657242,-0.39360278876955057,-0.5526116449971727,0.5196212549463013,-0.46203316374599446,-0.3330243075183734,-2.164933107216882,0.6092085924250998,-2.918076125871491,-1.2977369511965318,1.535660448464295,3.0203730921424548,1.4622705860184677,0.16482758620689708,-2.7500584134162436,2.3151667608818514,0.37532504239683284,-0.40319012624834905,-2.7064217071791967,0.8794592048238208,0.8535085735820633,-0.20517618240060287,0.28325796118334345,2.522683248539666,2.8073996608253236,0.6858224985867754,-0.8058356887130209,0.4766478236291718,1.0683022423214634,-0.6149255700018852,-0.1434369700395699,4.756165441869232,-1.87030148859996,1.3994592048238204,-0.49641416996419885,1.5893781797625763,-3.5680761258714897,0.6383794987752012,-2.685264744676841,0.8370604861503654,-0.2443470887507022,-2.067906538534011,-2.462287544752215,-0.3578179762577687,-3.1555963821368005,0.965409836065577,-0.3447597512719014,-2.99832296966271,-3.2942736009044644
1969,-1.9429806329711852,1.5703212092583847,0.427746811525747,2.257109116674542,3.483188474256023,-0.43748700991969613,0.07482758620689722,4.799045819555976,NA,1.5425838450637706,3.9716532829475693,5.7914643363249905,1.180769957487012,NA,0.5298535663675015,0.5815635333018427,4.12983939537081,3.064813415210203,-0.5468823807274461,2.29037316957959,1.9860037789324512,2.4605290505432222,-0.7271421823334876,5.147042985356636,3.5887340576287237,0.805087387812943,-0.8627208313651433,2.2333443552196517,1.9332404345772325,-1.8143457723193208,2.9479215871516278,3.3010297590930566,2.3433963155408613,-1.3521681624940918,1.3841898913556943,2.1032923948984443,2.894605573925368,4.4195984884270185,1.1885592820028315,5.213070382616911,2.594052905054319,1.2417713745866799,3.7342607463391566,3.029631554085972,5.558252243741137,8.204194615021251,1.6713745866792635,5.845384978743507,2.6739489844119024,4.66236183278224,1.2157959376476182,1.8237411431270676,3.0896315540859725,2.5934482758620714,2.8007368918280626,3.937128011336794,3.09305148795465
1970,-1.5650873878129392,-3.7296315540859704,-2.8126877657061895,-1.0022201228153023,-1.0987671232876703,-2.1569012753897034,-3.090028341993386,-1.398403401039202,2.32550307038262,0.06880018894661966,0.9107179971658006,3.3446055739253673,0.31161549362304974,-2.818214454416628,-2.049267831837507,-2.517161076995748,-0.22538025507794046,-2.131218705715634,-0.6602503542749165,1.3361927255550317,-3.1155550307038284,1.1379026924893747,-2.739423712801134,-0.9370382616910735,-2.457557864903163,-1.6417713745866855,-2.298715162966463,NA,-3.225002361832785,-2.7401842229570166,NA,1.9217194142654694,0.7279026924893746,-2.2591119508738746,-1.903481341521017,-1.4866934341048648,-0.8181955597543684,0.6595606991025029,-0.6914596126594255,-0.6820642418516769,4.379598488427019,1.2606660368445937,-3.1906329711856385,0.0064855928200309165,4.245073216816252,3.4238450637694857,2.6444496929617376,-2.0903731695795953,-1.0199574870099202,-1.9885592820028322,-3.215002361832785,-0.5380916391119506,-2.1725318847425594,2.3005810108644322,2.9613415210203122,1.5186112423240434,-2.197453944260742
1971,1.0518233349078887,-0.5836702881436011,1.8448464808691512,1.7280585734529996,3.7193717524799226,1.5653471894189899,1.7092158715162995,3.0796315540859727,2.448318375059042,-2.8693197921587164,-0.317435049598485,-2.323793103448275,-0.9259848842701928,-0.20130373169579485,-3.5891828058573445,NA,NA,-3.2460037789324527,-1.5388521492678322,NA,-0.4230656589513444,-0.22251299008029868,1.70082191780822,NA,0.26327350023618123,-1.6323240434577233,0.6299574870099196,2.2616863486065206,0.08156353330184274,2.654241851676902,-0.3397496457250817,-0.6385073216816259,-0.24517241379310306,-0.8798016060462928,-0.987090222012279,0.7523240434577207,0.40995748700992074,0.4517194142654688,2.019924421350968,1.8214785073216824,2.8491308455361395,0.41985356636750204,0.9661927255550307,3.8987860179499325,4.5001511572980615,NA,1.0856400566839906,2.2837411431270667,-0.2641709966934336,3.443656117146908,1.2535852621634387,2.513396315540861,4.818493150684933,-1.9318233349078895,-1.611166745394426,1.395795937647618,0.5044827586206928
1972,1.8779743734690033,NA,3.6297983794987747,3.146655360844168,3.4308667797248926,4.095089504428115,0.12193517995100756,-3.0902242321462223,4.48641228566045,1.4059072922555131,NA,2.7054136046730726,-1.3853420011305797,1.3722705860184679,6.126003391746744,NA,NA,5.005259091765595,4.503438854343322,NA,5.456994535519126,1.0975579423403055,5.522035048049748,4.1712059543998485,-0.1428584887883897,1.5753288110043346,0.40267947993216424,NA,0.2505313736574326,9.951221028829849,5.936169210476727,3.8605389108724335,6.24625400414547,4.605174298096854,3.0946730732994148,5.008398341812697,1.0777237610702812,3.992197098172225,5.132613529300922,2.787068023365366,1.6439250047107592,NA,NA,4.717322404371581,5.288151498021479,NA,6.528980591671379,NA,2.3465705671754282,4.26335406067458,3.388475598266444,2.515745242133031,3.6184755982664445,3.4903768607499526,3.1977312982852837,2.221198417184848,2.000619935933674
1973,-0.46919697685403605,-1.7173500236183266,-1.008247520075578,3.2018422295701487,1.1024610297590947,0.8567973547472878,0.6700094473311289,-1.8424279641001409,-1.8880066131317896,NA,-2.4619792158715175,2.13534718941899,-0.7842749173358552,1.6787151629664603,-1.8603212092583856,-3.197368918280585,-3.4469201700519605,-1.2242749173358547,-0.11230514879546583,-1.0350873878129399,1.2774539442607455,-2.6977137458667917,NA,1.4058998582900344,0.19714218233349,-3.8713415210203124,1.8675578649031639,NA,3.6148653755314086,4.241393481341516,-1.7379546528105791,-1.8099763816721781,-1.4638781294284389,-3.902947567312233,-2.9804770902220135,-1.6284034010392023,-0.4969863013698621,1.0185592820028315,-1.2205101558809623,0.3854841757203644,-0.6747236655644766,3.386315540859707,0.635536136041571,-1.7318233349078902,2.72405290505432,0.6274350495984908,1.047850732168163,-1.4385073216816266,0.7277987718469543,2.4611336797354735,-1.6750873878129404,-1.530061407652335,NA,-2.9332404345772307,-1.431667453944259,-1.7785073216816265,1.675951818611244
1974,4.197784600850261,2.061582427964101,3.3564194615021226,-1.833585262163437,2.0944307982994825,-3.3850543221539944,-2.494846480869154,-3.7129995276334435,2.5522390174775627,2.430632971185643,1.9121350968351472,-0.8216674539442597,2.040477090222014,2.8312895606991013,2.0130845536136057,-1.9975578649031638,-1.8219792158715187,0.2872980632971185,4.743623051487955,1.3456400566839903,-1.0465895134624503,-0.1847236655644764,NA,-3.6484222957014634,-2.259163911195083,-1.8968493150684953,-1.3634293811998095,0.6084034010392063,2.915762871988667,2.8242938119981087,-1.1049834671705234,-0.39287671232876953,-1.7567453944260745,3.9383372697213055,1.7053991497401988,4.493467170524326,-0.015172413793102635,-1.4849834671705242,2.8607368918280613,6.356197449220595,1.3281105337742112,-1.4696126594237118,5.037992442135094,0.5260888049126127,3.120840812470476,-2.5468682097307527,0.8966934341048667,0.9894567784600845,4.67678318375059,-2.971081719414266,0.6584034010392052,4.223363249881908,5.942725555030702,2.5462116202172904,4.624071799716576,6.081672177609825,2.6112376003778905
1975,-2.150821917808223,-1.8590599905526677,-3.1244496929617407,-1.8997165800661318,-3.9802031176192703,-5.6524137931034515,-5.215677846008502,-5.564676428908832,2.0326358053849827,-0.9893008974964559,-2.291927255550309,0.7654841757203634,-7.038408124704771,-1.5617194142654718,-1.5580066131317896,-1.0528247520075595,-1.3496126594237126,-3.7183703353802535,-0.29180444024562924,-2.782843646669816,-3.143897024090694,-1.573481341521017,NA,-6.539305621162023,-5.20673122342938,-1.7740340103920644,-2.449872461029761,-1.9990599905526665,-2.3180585734530013,-5.102017005196032,-4.50602267359471,-2.0367123287671234,-2.6920311761927254,0.17829948039678456,-1.8940340103920636,-1.8173500236183262,-2.2730845536136037,-3.8373689182805855,-2.477005196032122,-3.2328436466698154,-2.224085970713274,-3.529130845536133,0.27653755314123885,-2.544293811998111,1.0896646197449247,-2.480736891828058,-4.743363249881909,-0.6732735002361814,-2.6165564478034957,-5.899754369390648,-0.5886443079829977,1.4741898913556941,-1.360061407652335,-2.253032593292394,-4.228077468115257,-1.2589041095890412,-1.9612706660368442
1976,3.696327491991708,NA,NA,5.728151498021479,2.922104767288488,4.255255323158092,4.173188241944603,6.623361597889582,2.743431317128323,0.3601187111362343,1.1149971735443742,1.725575654795552,-0.7069926512153764,4.811124929338609,2.159543998492559,2.418140192198983,2.49929715470134,1.1518579234972677,7.923450160165821,3.3218616921047683,3.5632692670058415,2.8970680233653656,NA,12.999169022046354,5.510052760504998,1.339790842283774,4.510461654418693,2.96161484831355,4.923604673073301,NA,-1.2336065573770512,0.27094026757113276,-1.3663331449029563,-0.8969926512153759,5.817491991709064,2.7189692858488765,8.897584322592806,6.3193122291313255,1.806817410966648,3.1639287733182577,8.38031091011871,7.3632805728283355,6.362451479178443,-1.09575466365178,9.56552100998681,5.801371773129826,1.6674769172790675,8.411961560203508,5.907904654230265,4.103188241944602,14.176114565667984,4.503685698134541,4.654842660636893,1.144418692293197,0.14515922366685707,3.7286414169964175,2.8202920670812173
1977,2.563396315540862,-0.17743504959848622,-2.7182144544166285,-1.2478507321681604,-0.8814785073216802,-2.657609825224374,-2.1358478979688265,-0.07577704298535615,0.5399574870099197,-0.21461974492205727,-3.869631554085969,-4.0715493623051495,-3.4106329711856374,NA,NA,4.719494567784604,3.3835002361832807,0.8541379310344812,0.2277987718469543,-0.9406140765233815,2.1843977326405284,-1.6868493150684944,1.4079546528105809,1.9443977326405282,-0.539749645725081,3.0724468587624045,0.5921681624940902,-2.3486112423240453,-1.1276948512045362,1.2371421823334892,-0.28306565895134383,-0.5156920170052004,-0.26406707605101154,-3.5156069910250336,2.612342938119985,0.6672980632971175,-2.1219272555503093,-2.7792678318375073,2.2938970240906933,-5.878096362777514,-2.3091119508738753,-5.456386395843173,-1.9341379310344813,-3.659078885214928,0.16382616910722803,-3.831705243268776,-4.318233349078883,-2.2793197921587165,-2.049716580066132,-0.7793008974964568,-2.563136513934812,-5.450703826169106,-5.375177137458667,-2.139664619744922,-1.3088521492678318,0.12985356636750112,NA
1978,3.999390647142185,3.318077468115252,2.855710911667453,2.937316957959375,5.438786017949933,4.201152574397732,3.258578176665093,NA,0.20930089749645653,3.7532593292394907,3.697680680207842,-2.5316343882853083,NA,3.246972130373166,2.5610297590930564,4.001497401983942,6.59559282002833,2.384605573925368,1.4653991497401986,5.256835144071799,3.733760037789324,-2.1308738781294316,5.309702409069443,12.31756731223429,1.1229806329711867,3.5731554085970707,2.8595276334435518,3.414260746339158,-0.06959376476145174,1.2371421823334892,2.437765706188001,3.4521870571563564,0.6334293811998091,-2.3252432687765694,2.111634388285312,6.826957959376481,4.500651865847901,4.041705243268776,4.665177137458667,3.9565753424657526,11.691832782239016,4.614468587623996,5.93548889938592,5.741015588096365,8.354662257912135,9.262295701464332,0.6321681624940911,4.4188379782711404,1.426901275389703,4.350599905526691,9.142106754841755,-1.1616154936230494,3.9209966934341036,1.6203731695795902,3.0652621634388293,7.5460085025980135,11.406702881435985
