yy;aeronautica_6771;aeronautica_6773;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6822;aeronautica_6841;aeronautica_6850;aeronautica_6851;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6897;friuliveneziagiulia_51;lazio_276;marche_701;sicilia_6120;toscana_464;toscana_55;toscana_72;toscana_78;trentino_6509;trentino_6511;trentino_6564;aeronautica_6782;marche_104;marche_123;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6859;aeronautica_6876;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6901;lazio_240;lazio_278;lazio_289;marche_25;sicilia_11825;sicilia_11832;sicilia_11883;sicilia_11898;sicilia_11933;sicilia_11942;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6769;bolzano_203;emiliaromagna_12702;emiliaromagna_14246;emiliaromagna_9224;friuliveneziagiulia_14;friuliveneziagiulia_20;friuliveneziagiulia_39;marche_108;marche_110;marche_605;trentino_6570;aeronautica_6919;aeronautica_6922;aeronautica_6923
1961;NA;4.1;NA;-2.1;1;1.3;3.4;4.2;-0.7;5.4;5.6;8;6;0;1.5;5.8;NA;4.9;4.5;1;1.2;NA;NA;2.7;-2.7;0.2;-2.1;3;3.1;NA;1.9;3.4;NA;7.5;NA;NA;11;NA;NA;6.1;1.1;NA;6.9;6.1;10.1;7.2;9.5;NA;NA;-2.9;-0.8;0.1;NA;NA;NA;-0.9;-0.8;-1.1;-2.1;-0.3;-0.6;-0.1;-1.1;0;1.5;-2.3;-1.4;NA;5.8;9.1
1962;NA;3;NA;NA;0.5;2.5;3.3;6.3;2.1;7.6;6.6;4.8;NA;-2;1.7;3.8;1.9;4.3;3.1;2;1.2;0.5;-2.1;0.5;NA;-2.8;-2.9;3.6;3.1;NA;1.9;6.1;NA;7.2;8.9;NA;10.1;NA;NA;7.1;0.8;5.8;6.2;5.4;NA;6.2;7.1;NA;NA;-4;0;1;-1.7;-2;NA;-2.3;-1.7;-1.6;-0.8;-0.2;-2.7;-2.9;-0.1;-2.6;-1.3;-3.4;-1.4;5.6;2.2;6.9
1963;NA;-1;NA;-5.2;-1;0.1;1.9;2.6;1.4;3.8;4.5;5.5;4.5;-5;-1.1;1.5;0.5;0.3;-0.8;-2;-2.6;-1.8;-2.1;-0.2;-7;-5.8;NA;0;1.9;NA;-0.1;3;NA;6.9;9.1;NA;9.3;NA;NA;3.6;0;4.8;5.6;NA;9.2;6.2;8.7;NA;NA;-5.4;-2.5;-2.5;-4.1;-4.6;NA;-3.6;-2.6;-3.3;-2.9;-4.3;-5.7;-5.8;-4;-5.7;-3.2;-8.7;-1.4;3.8;3.5;3.7
1964;3.4;5.5;4.2;NA;6.7;8.4;6.1;7.9;3;7.4;4.7;9.6;5.5;1;9.8;3.1;NA;6.8;2.7;5;3.9;2;0.1;2;0.2;2.2;1.1;7.8;9.1;7.5;3.7;4.8;NA;10.1;11.8;NA;10.8;NA;2.7;9.2;5.9;8.8;NA;6.4;11.5;8;11.7;NA;NA;-5.7;-2.1;-1.2;-2.9;-3.6;NA;-4.1;0.1;-2.1;-2.7;-2.6;0.4;-1;-0.1;0.5;-2.6;-1.8;2.4;9.8;7.9;9.5
1965;5.6;5.3;NA;NA;NA;2.4;5.2;5;2.6;5.1;3.5;8.4;5.5;2;6.1;7.1;NA;6.2;5.4;4.2;2.5;NA;0.8;3.5;-2.8;-2.2;NA;5.1;5.4;7.3;2.7;3;10.4;NA;10.1;8.4;10;5.3;5.5;7.2;2.3;8;6.9;NA;9.4;7.2;11.3;-1.6;0.8;-1.7;0.9;1.8;1.6;1.4;2.3;1.9;-0.8;0.7;1.5;-0.4;0.4;2.8;3.9;-0.4;2.2;-3.2;0.5;6;5;6.7
1966;3.5;3;1.7;0;3.7;6.8;6.1;2;-1.3;6.4;3.1;8.4;NA;1;5.9;4.1;NA;2.2;3.2;1.1;1.2;NA;-2.1;1.3;-2.6;-0.9;NA;5.1;6.6;6.3;2.7;4.6;11.3;8.1;11.1;7.4;9.8;7.1;5.5;8;1.7;9.9;6.4;NA;8.9;NA;10.2;0.5;-1.8;-1.7;-3.4;-2.9;-0.7;-0.9;1.3;-1.7;NA;-1.1;NA;NA;-2.7;0.9;0.9;-0.6;-0.6;-3;-3.3;9;7.5;10.5
1967;1.3;3.2;3;-3;2.1;4;5.6;4.2;0.5;7.1;4.7;8.7;5.6;1;5.3;5.4;1;3.5;2.9;2;2;1.2;-0.6;1.3;-2.6;-0.6;NA;4.3;1.9;6.5;3.7;5;11.3;9.3;11.1;6.8;10.3;4.3;2.5;5.9;2.1;7.9;NA;5.5;10.1;6.7;9.6;0.5;-1.2;-2.6;-0.4;0.1;-1.5;-1.9;-1.9;-1.4;1;0.5;-1;-0.7;0.4;1.8;1.9;-0.4;-0.8;-3;-0.5;2.7;6;3.3
1968;2;0.8;0.7;-1;-0.2;2;2.8;2;-2.3;4.1;2.3;7.7;6.7;-1;2.7;3.9;0;0;2;0.9;2.1;-3.3;-2.1;1.3;-5.1;-2.1;-3.2;3.2;2.5;3.3;1.2;0.9;10.4;7.2;10.3;7.4;9.1;3.9;2.5;3.9;1.1;7;5.8;5.6;7.2;7.4;9.9;-1.6;-2.8;-1;-1.9;-2.4;-3.3;-3;-2.5;-0.7;-3.6;-0.1;-2.7;-1.6;-2.7;-2;-1.5;0.4;-1.7;-3;-2.4;6.6;5.4;7.5
1969;4.7;5.2;5;1.6;4;6;4.8;6.2;2.3;7.6;6.4;8.5;6.9;1;7.4;5;3.7;4.3;NA;NA;NA;1.2;1.5;3.5;-0.7;-0.9;0.2;7;6.3;8;0.7;6.1;11.3;9.8;11.1;11.5;12.2;6.3;0.5;7.8;2.1;10;8.8;9.7;11.3;7.4;10.6;-3.2;-1.2;-1.9;-0.2;0.2;0.3;0.2;1.3;1.5;0.1;0.7;0.2;-1.6;0.4;2.8;1.4;-0.1;2.6;-1;-0.5;6.8;6.8;7.5
1970;2.4;3.9;4.5;1.2;2.9;6;6.5;5.6;4.3;9.3;7;10.2;8.5;1;6.6;4.7;3.5;5.5;5;0;2.5;4.2;0.1;NA;-1;-0.6;-0.9;6.5;6.3;8.4;6.1;5.7;12.2;9.9;12.8;9.5;12.6;6.2;NA;7.5;3.1;10.5;11.8;7.8;11.4;9.1;12;-2.2;-1.8;-1.7;-1.5;-0.5;0.6;0.9;1.3;1.6;0.1;-0.6;-0.8;-1.6;1.4;1.8;4.2;-1.2;1.4;-2.6;-0.5;6.2;7.7;7.3
1971;-0.8;-0.3;1.7;1.4;1.8;2.7;4.4;5.8;2.3;7.6;7;8.4;6.5;-1;4.4;3.1;4;3;2.4;-0.1;0.2;0.5;0.1;0.9;-4.1;-3.4;-3.1;3.6;6.3;6.7;2.7;5.9;NA;9.9;10.1;NA;10.7;6.6;NA;6.1;1.6;10.5;6.2;5.3;9.6;7.2;9.6;NA;NA;-3.5;-1.5;-0.3;-1.4;-1.5;NA;1;-1.7;-0.4;0;-0.7;-2.7;-2;0.4;-1.8;0.5;-3.6;0.5;5.8;5.4;5.3
1972;4.3;4.8;5.7;NA;6.2;8.8;8.4;8.4;4.1;10.3;NA;NA;10;-2;10.4;8.2;6.2;5.5;4.5;5;4.3;2.7;1.5;3.7;1.6;2.2;2.4;8.2;8;9.4;7.6;8.5;NA;12.5;11.9;NA;NA;9.5;NA;10.1;5.2;NA;8.7;5.4;13.1;8.9;11.2;NA;NA;-0.4;-1.2;0.2;-0.8;1.1;NA;2;0.1;1.4;-0.5;2.1;-4.7;-1;-0.5;1.8;4.9;1.5;2.4;8.6;8.1;9.9
1973;5;2.7;3.7;1.8;3.7;6.1;6.7;8;2.5;8.8;6.4;9.3;7.1;0;5.1;6.4;3.6;1.5;2.7;1;3.8;-0.3;2.2;3.7;-2.3;-0.7;0;4.5;5.2;6.7;1.4;7.2;11.4;10.3;11.6;9.5;10;5.8;3.5;6.7;1.7;9.7;NA;5.3;11.2;6.7;10.4;-2.4;-0.1;0;0.4;0.8;0.6;0.1;0.2;1;1;0.2;1.3;1.2;0.4;0.9;NA;-1.1;2.3;-1.6;-0.9;8.8;6.4;9.5
1974;6.2;4.5;6.1;4.6;7;8.8;9.7;9.6;6.2;10.4;10;11.6;10.8;7;10;8.8;7.1;4.4;5;6;7.5;4.2;3.6;6.4;3.9;2.8;3.7;10.5;9.4;10.2;8.5;10.3;13.8;12.7;12.9;12.3;13.1;8.6;7.4;10.7;6.6;13;10.1;7.4;12.2;9.4;12.2;1.5;2.9;2.3;2.3;1.1;1.3;1.6;3.1;4.9;0.1;3.5;2.7;3.9;2.4;4.7;NA;4;5.3;3.6;3.5;9;10.6;10.3
1975;6.6;5.8;4.7;3.4;4.8;8.4;7.3;8;2.6;8.3;7.3;9.2;7.9;4;8.7;8.5;5.7;7.4;5.4;5.5;5.7;3.5;2.9;5.7;1.5;2.6;1.2;7.4;8.5;9.2;6.2;7.6;12.2;11.7;11.8;10.4;10.7;9.2;6.5;10;4.5;10.4;7.6;5.9;12.2;7.6;12;1.3;-0.1;-0.6;-0.4;-1.3;0.9;0.1;1.2;3.2;1;1.9;-0.4;1.2;2.4;1;NA;2.4;4.5;-0.2;1.3;7;7.5;7.7
1976;5.1;3.1;0.7;NA;NA;6.3;6.7;7;3.7;8.3;7.5;9.6;8.9;2;7.2;5.8;5.7;5.8;5;3;4.7;NA;0.8;3;-1.4;0.4;0.5;7.4;6.3;6.3;4.8;7.8;12.3;11.2;11.9;9.5;11.2;NA;5.5;8.6;3.6;10.8;7.3;7.3;12.2;7.7;13.5;0.3;0.8;0.9;0.9;0.5;NA;-0.9;-0.8;1.1;0.1;0.7;0.9;1.2;-0.8;1;NA;0.1;2.3;0.1;0.8;8.6;6.3;8.7
1977;6.4;4.2;5.9;4.2;6.5;8.2;9.2;9.2;6;9.9;8.4;11.1;10.8;5;9.1;5.5;5.4;4.9;NA;3;NA;2;NA;3;2.2;3.1;2.8;5.7;6.2;7.8;5.7;8.4;11.3;11.1;12.6;10.4;12.1;9.1;8.5;9.1;5.2;12.2;10;7.4;12.2;NA;12.2;0.3;0.9;-0.4;-1.4;-2.2;3;3.1;3.1;3.9;0.1;1.6;NA;2.1;2.4;3.3;3.3;2.6;5.5;1.2;0.8;9.8;NA;10.6
1978;4.3;5;5;4.4;5.7;7.6;7.3;7.8;4.6;9.4;8;8.7;9.1;0;8.3;NA;6.4;4.7;6.3;4.5;NA;2;0;2.3;0.8;-0.6;0.6;8.4;8.4;7.5;6.5;7.1;9.5;9.5;11;7.6;9.3;7.8;5.7;8.8;4.8;10.9;8.3;6.4;10;9.4;11.2;-2.5;-1;-1.7;-1.5;-1.4;-1.4;-1.9;-1.8;0.2;-1.7;0.4;NA;1.2;-0.8;1.4;0.4;0.1;1.4;0.1;-0.1;7.6;7.9;7.2
1979;2.2;3.2;2;2.2;3.8;4.3;5.7;3.4;1.4;4.4;2.2;8;7.6;-1;4.9;4;2.4;3.2;1.9;-1;2.8;-1.8;-7.8;-1.8;-0.7;-2.8;-4.1;5.5;4.9;6.1;0.3;5.1;8.7;8.3;9.7;7.6;8.1;4.8;2.7;6;1.8;7.5;6.7;3.6;10.1;6.3;11.1;-4.5;-1;-4.2;-2.3;-1.6;-1.6;-0.8;-1.8;-1;NA;-0.6;-4.3;-1.8;-1.9;-0.5;1.4;-4.1;-1.7;-5;-2;7.8;6.8;8.8
1980;4.1;2.2;2;2.4;3.6;6.2;4.8;6.6;NA;7.4;4.3;10.2;9.3;0;6;6.9;2.8;3.6;4.7;2.5;1.5;2;-2.9;2.3;-1.6;-0.7;0.7;5.3;5.6;8;3.4;4.9;10.5;9.5;11.6;9.5;9.9;6.2;3.5;7.8;3.7;9.8;6.8;5.7;10.1;8.9;10.8;-2.5;-1;-3.3;-1.4;-0.8;0.9;0.9;0.2;-0.1;-0.8;-1.1;-3.2;-1.2;-1.7;2.4;2.3;1.6;2.2;-2;1.7;7.8;7.6;7.8
1981;NA;3.2;2.7;-0.8;0.5;2.4;5;3.6;1.4;7.4;6.1;NA;6.3;1;5.3;5.5;1.4;2.8;3.6;0;0.3;1.2;-4.9;1.4;-3.4;-2.9;-1.2;NA;3.7;4.9;2.5;6.4;8.7;8.2;7.6;7.6;8.6;2.9;0.5;6;0.2;NA;4.2;2.6;9.2;4.6;8.5;0.3;0.9;0;0.5;1.1;1.2;1.3;1.2;1.9;-0.8;1.3;2.4;-0.7;1.4;2.4;1.4;-1.3;0.7;-3.5;-1.1;5;1.9;4.2
1982;3;5.6;NA;4.7;6.3;8.4;7.9;8.4;2.8;9.2;6.8;10.6;9.5;1;9.6;3.8;6.9;6.5;2.9;3;NA;1.2;-1.8;-0.2;-1.5;-0.8;2;6.6;8.6;7.7;6.5;7.3;12.3;10.9;11.6;10.4;10.1;8;7;9.7;NA;12.4;9.7;8.9;11.8;6.3;11.6;-0.3;0.2;-0.6;0.3;1.1;-0.4;-0.3;-0.7;0.8;1;0.6;-0.4;NA;1.4;3.3;2.3;0.3;-0.2;-0.6;1.7;10.4;6.7;9
1983;5.6;5.7;4.7;2.7;4.8;8;6.6;5.8;3.5;6.9;5.7;8.7;8.2;1;7.2;NA;6;4.8;4.1;3.5;4.2;2.7;-2;3;-0.8;1.1;-0.7;6.6;7.3;8;6.3;7.3;11.4;9.2;9.7;7;8.6;6.8;4.6;8.8;3.2;11;8.3;8.9;10.5;3;9.1;-0.6;0;0.1;0.4;-1.2;-1.1;-0.6;-0.8;2.8;-1.7;1.3;1;2.5;1.4;2.4;1.4;-1.6;NA;-1;-0.1;NA;4.1;9
1984;4.4;4.4;3.9;2.9;5.3;6;6.9;NA;1.4;8.5;6.6;9.1;9;1;8.5;6;3.6;3.6;4.2;2.5;3.3;3.5;-2.8;3;-1.6;0.6;-1.2;6.3;7.2;8;5.9;7.5;11.4;10;9.7;7.6;10.1;5.7;5.8;9.6;3.7;10.1;7.9;7.3;10.6;2.5;9.4;0.3;1.6;0.3;1.1;1.3;-1.8;-1.5;-0.2;3.5;-0.8;-0.2;0.6;2.6;1.4;3.3;NA;-1.1;0.4;-1.6;0.8;7.4;4.8;8.1
1985;-0.4;-3.8;-0.2;-3.5;NA;-1;2.8;5.2;0.9;6.5;4.8;9.1;9;-5;NA;NA;4.8;-1;-1.7;-3.4;-1.2;-3.3;-6.2;-3.4;-5.7;-2.7;-2.7;1.7;0.2;3.9;0.1;NA;9.6;8.8;10.6;10.4;10.2;2.4;0.5;3.1;-1.3;9.1;7.3;3.7;9.3;4.3;9.5;-4.5;-5.3;-6.8;-4.4;-3;-4.2;-3.8;-4.6;-4.5;-6.3;-3.9;-8.3;NA;-4.9;-3.3;-2.4;-4.6;-3.7;-6.6;-4.8;1.9;NA;3.8
1986;1.1;3.2;2.5;-1.9;1.5;3;5;7.2;3.5;8.3;5.7;7.5;8.8;-2;4.1;3.9;4.8;4.8;3.1;1;2.4;NA;-2.8;-4.2;-2.2;-0.7;-2.1;3.3;3.3;5.1;4;5.5;9.1;7.7;9.5;7.6;10.4;5.3;1.6;5.8;2;8.2;6.8;2.4;8.8;3;8.1;-1.1;0.9;-0.4;0.4;0.9;0.1;-0.1;-0.8;-0.3;-0.8;-0.2;NA;-0.1;-0.7;-1.4;NA;-2.7;-0.4;-3.9;-0.1;4.6;5.2;6.6
1987;3.2;2;3.7;1.1;4.6;5.8;5.4;6.2;-0.7;3.7;2.8;7.5;8.6;-3;4.3;4.6;4.1;2.7;NA;0;2.4;-2;-2;-3.4;-2;-2.2;-1.2;3.9;6.1;5.7;2.5;2.2;8.5;6.9;9.9;9.5;9.5;7.6;5.2;9;3;8;6.8;4;NA;2.4;7.7;-1.5;-2.3;NA;-2.8;-2.3;-3.2;-3.4;-2.7;-0.5;-3.6;-1.1;-2;NA;-5;-0.5;-1.5;-4;-1.6;-2.7;-3.9;7.4;8;8.9
