yy,aeronautica_6771,aeronautica_6773,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6822,aeronautica_6841,aeronautica_6850,aeronautica_6851,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6897,friuliveneziagiulia_51,lazio_276,sicilia_6120,toscana_464,toscana_55,toscana_72,toscana_78,aeronautica_6693,aeronautica_6697,aeronautica_6709,bolzano_223,bolzano_39,bolzano_94,toscana_25,trentino_6511,aeronautica_6782,aeronautica_6826,marche_104,marche_109,marche_703,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6859,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6901,lazio_240,lazio_278,lazio_289,marche_25,sicilia_11825,sicilia_11832,sicilia_11883,sicilia_11898,sicilia_11933,sicilia_11942,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6721,aeronautica_6723,aeronautica_6729,aeronautica_6730,aeronautica_6733,aeronautica_6769,emiliaromagna_12702,emiliaromagna_14246,emiliaromagna_9224,friuliveneziagiulia_14,friuliveneziagiulia_20,friuliveneziagiulia_39,marche_108,marche_110,marche_605,trentino_6570,aeronautica_6919,aeronautica_6922,aeronautica_6923
1978,-6.200000000000003,-20,-29.83,-16.540000000000006,-12.420000000000002,-22.72,-22.590000000000003,-15.569999999999993,-16,-23.689999999999998,-19.069999999999993,-6.260000000000005,-18.189999999999998,-29.83,-12.170000000000002,-15.420000000000002,-12.370000000000005,-16.599999999999994,-7.790000000000006,NA,-0.52,-4.56,-12.86,-0.4,-12.38,-0.42,-2.25,-3.18,-13.590000000000003,-16.54,-9.899999999999999,-15.89,-19.33,-10.930000000000007,-18.069999999999993,-17.849999999999994,-16.83,-16.459999999999994,-16.930000000000007,-33.06999999999999,-15,-10.86,-10.210000000000008,-23.83,-9.199999999999989,-20.099999999999994,-20.150000000000006,-13.189999999999998,-12.349999999999994,-20.700000000000003,-19.299999999999997,-29.83,-8.620000000000005,-15.329999999999998,-16.560000000000002,-5.609999999999999,-16.239999999999995,-24.959999999999994,-25.439999999999998,-23.33,-13.340000000000003,-15.200000000000003,NA,-10.379999999999995,-21.129999999999995,-30.17,-28.92,-25.569999999999993,-21.340000000000003,-11.799999999999997,-11.329999999999998,-18.849999999999994,-23.700000000000003,-13.620000000000005
1979,15.799999999999997,11,0.1700000000000017,3.4599999999999937,9.579999999999998,12.280000000000001,2.4099999999999966,-2.569999999999993,1,0.3100000000000023,-8.069999999999993,6.739999999999995,-9.189999999999998,-3.8299999999999983,-8.170000000000002,-2.4200000000000017,18.629999999999995,-0.5999999999999943,7.209999999999994,5.6200000000000045,-0.52,-4.56,-4.859999999999999,-0.4,-13.38,-0.42,-2.25,-3.18,8.409999999999997,-7.539999999999999,9.100000000000001,-0.8900000000000006,-12.329999999999998,4.069999999999993,0.9300000000000068,-5.849999999999994,0.1700000000000017,-8.459999999999994,4.069999999999993,-7.069999999999993,3,6.140000000000001,3.789999999999992,1.1700000000000017,1.8000000000000114,-3.0999999999999943,5.849999999999994,-6.189999999999998,-11.349999999999994,5.299999999999997,3.700000000000003,-16.83,11.379999999999995,1.6700000000000017,9.439999999999998,5.390000000000001,5.760000000000005,4.040000000000006,7.560000000000002,-5.329999999999998,7.659999999999997,5.799999999999997,-2.5400000000000063,3.6200000000000045,2.8700000000000045,10.829999999999998,8.079999999999998,2.430000000000007,15.659999999999997,16.200000000000003,10.670000000000002,-15.849999999999994,-26.700000000000003,-1.6200000000000045
1980,-23.200000000000003,-18,-0.8299999999999983,-11.540000000000006,-15.420000000000002,-1.7199999999999989,-20.590000000000003,-7.569999999999993,NA,-7.689999999999998,-13.069999999999993,-13.260000000000005,-13.189999999999998,-25.83,-25.17,-12.420000000000002,-22.370000000000005,-2.5999999999999943,-0.7900000000000063,-1.3799999999999955,0.48,-0.5599999999999996,-3.8599999999999994,-0.4,-4.380000000000001,0.5800000000000001,-2.25,1.8199999999999998,-10.590000000000003,-8.54,-2.8999999999999986,-4.890000000000001,-9.329999999999998,-2.930000000000007,-7.069999999999993,-10.849999999999994,-7.829999999999998,-6.459999999999994,0.06999999999999318,-0.06999999999999318,-3,-7.859999999999999,-8.210000000000008,-32.83,-15.199999999999989,9.900000000000006,1.8499999999999943,-10.189999999999998,-14.349999999999994,-4.700000000000003,-15.299999999999997,-22.83,-15.620000000000005,-21.33,-16.560000000000002,1.3900000000000006,-9.239999999999995,-10.959999999999994,-11.439999999999998,-27.33,-4.340000000000003,-10.200000000000003,-7.540000000000006,-17.379999999999995,-20.129999999999995,-27.17,-24.92,-9.569999999999993,-8.340000000000003,-4.799999999999997,-0.3299999999999983,-4.849999999999994,-4.700000000000003,5.3799999999999955
1981,NA,6,5.170000000000002,-2.5400000000000063,1.5799999999999983,10.280000000000001,-5.590000000000003,2.430000000000007,-5,6.310000000000002,1.9300000000000068,NA,-8.189999999999998,1.1700000000000017,-2.1700000000000017,-7.420000000000002,3.6299999999999955,12.400000000000006,11.209999999999994,4.6200000000000045,-0.52,-1.5599999999999996,-9.86,-0.4,-8.38,-0.42,-0.25,0.8199999999999998,-1.5900000000000034,1.4600000000000009,5.100000000000001,-10.89,0.6700000000000017,NA,16.930000000000007,4.150000000000006,11.170000000000002,18.540000000000006,8.069999999999993,8.930000000000007,26,11.14,16.789999999999992,-2.8299999999999983,11.800000000000011,12.900000000000006,NA,14.810000000000002,11.650000000000006,8.299999999999997,14.700000000000003,24.17,5.3799999999999955,-7.329999999999998,-2.5600000000000023,-6.609999999999999,-16.239999999999995,-4.959999999999994,-8.439999999999998,-14.329999999999998,-1.3400000000000034,-3.200000000000003,-22.540000000000006,-42.379999999999995,-1.1299999999999955,-13.170000000000002,-17.92,-1.5699999999999932,11.659999999999997,-2.799999999999997,1.6700000000000017,20.150000000000006,17.299999999999997,5.3799999999999955
1982,22.799999999999997,22,NA,19.459999999999994,16.58,24.28,26.409999999999997,14.430000000000007,9,24.310000000000002,21.930000000000007,25.739999999999995,23.810000000000002,15.170000000000002,29.83,13.579999999999998,18.629999999999995,20.400000000000006,15.209999999999994,NA,-0.52,-1.5599999999999996,-3.8599999999999994,-0.4,-4.380000000000001,NA,-2.25,11.82,10.409999999999997,20.46,24.1,-1.8900000000000006,21.67,12.069999999999993,10.930000000000007,3.1500000000000057,12.170000000000002,14.540000000000006,10.069999999999993,20.930000000000007,10,15.14,5.789999999999992,21.17,7.800000000000011,NA,17.849999999999994,14.810000000000002,-7.349999999999994,11.299999999999997,20.700000000000003,35.17,21.379999999999995,23.67,19.439999999999998,25.39,28.760000000000005,27.040000000000006,29.560000000000002,28.67,33.66,20.799999999999997,20.459999999999994,NA,24.870000000000005,19.83,17.08,20.430000000000007,19.659999999999997,17.200000000000003,25.67,13.150000000000006,23.299999999999997,12.379999999999995
1983,7.799999999999997,9,18.17,4.459999999999994,7.579999999999998,11.280000000000001,12.409999999999997,-0.5699999999999932,0,-2.6899999999999977,-4.069999999999993,-1.2600000000000051,2.8100000000000023,6.170000000000002,0.8299999999999983,-7.420000000000002,1.6299999999999955,1.4000000000000057,15.209999999999994,13.620000000000005,5.48,7.44,7.140000000000001,6.6,20.619999999999997,NA,4.75,14.82,1.4099999999999966,-3.539999999999999,-1.8999999999999986,-2.8900000000000006,NA,-1.9300000000000068,3.930000000000007,3.1500000000000057,14.170000000000002,7.540000000000006,-8.930000000000007,4.930000000000007,1,-4.859999999999999,-0.21000000000000796,-7.829999999999998,0.8000000000000114,-2.0999999999999943,13.849999999999994,20.810000000000002,-13.349999999999994,-0.7000000000000028,18.700000000000003,9.170000000000002,15.379999999999995,6.670000000000002,2.4399999999999977,1.3900000000000006,1.7600000000000051,12.040000000000006,5.560000000000002,11.670000000000002,15.659999999999997,4.799999999999997,-3.5400000000000063,40.620000000000005,19.870000000000005,15.829999999999998,27.08,-0.5699999999999932,NA,4.200000000000003,0.6700000000000017,NA,16.299999999999997,9.379999999999995
1984,-21.200000000000003,-21,-17.83,-17.540000000000006,-18.42,-14.719999999999999,-9.590000000000003,NA,-19,-13.689999999999998,-16.069999999999993,-12.260000000000005,-19.189999999999998,-15.829999999999998,-21.17,-20.42,-22.370000000000005,-19.599999999999994,-19.790000000000006,-15.379999999999995,3.48,3.4400000000000004,-4.859999999999999,2.6,7.619999999999999,4.58,-2.25,6.82,-12.590000000000003,-14.54,-9.899999999999999,-7.890000000000001,-19.33,-22.930000000000007,-22.069999999999993,-16.849999999999994,-21.83,-7.459999999999994,-5.930000000000007,-4.069999999999993,-15,-8.86,-28.210000000000008,-15.829999999999998,-25.19999999999999,-20.099999999999994,-7.150000000000006,-10.189999999999998,-24.349999999999994,-12.700000000000003,-4.299999999999997,9.170000000000002,-1.6200000000000045,-9.329999999999998,-2.5600000000000023,-14.61,-10.239999999999995,-19.959999999999994,-19.439999999999998,-22.33,-20.340000000000003,-12.200000000000003,-11.540000000000006,2.6200000000000045,-8.129999999999995,-14.170000000000002,NA,-19.569999999999993,-16.340000000000003,-17.799999999999997,-7.329999999999998,-21.849999999999994,-10.700000000000003,-17.620000000000005
1985,5.799999999999997,26,31.17,26.459999999999994,NA,21.28,25.409999999999997,27.430000000000007,7,12.310000000000002,6.930000000000007,-3.260000000000005,11.810000000000002,13.170000000000002,NA,1.5799999999999983,34.629999999999995,28.400000000000006,28.209999999999994,34.620000000000005,-0.52,6.44,-6.859999999999999,-0.4,11.62,-0.42,2.75,3.82,22.409999999999997,15.46,11.100000000000001,13.11,27.67,16.069999999999993,18.930000000000007,15.150000000000006,19.17,NA,30.069999999999993,17.930000000000007,14,20.14,20.789999999999992,17.17,14.800000000000011,20.900000000000006,16.849999999999994,12.810000000000002,11.650000000000006,23.299999999999997,24.700000000000003,28.17,25.379999999999995,19.67,9.439999999999998,26.39,25.760000000000005,28.040000000000006,25.560000000000002,14.670000000000002,6.659999999999997,26.799999999999997,31.459999999999994,NA,31.870000000000005,24.83,20.08,30.430000000000007,13.659999999999997,29.200000000000003,31.67,6.150000000000006,NA,1.3799999999999955
1986,12.799999999999997,20,17.17,19.459999999999994,7.579999999999998,10.280000000000001,6.409999999999997,17.430000000000007,10,10.310000000000002,9.930000000000007,13.739999999999995,6.810000000000002,12.170000000000002,16.83,16.58,23.629999999999995,28.400000000000006,24.209999999999994,18.620000000000005,-0.52,3.4400000000000004,-12.86,-0.4,25.619999999999997,-0.42,-2.25,1.8199999999999998,10.409999999999997,1.4600000000000009,-16.9,-10.89,-4.329999999999998,12.069999999999993,3.930000000000007,13.150000000000006,8.170000000000002,11.540000000000006,21.069999999999993,22.930000000000007,15,5.140000000000001,7.789999999999992,24.17,1.8000000000000114,7.900000000000006,9.849999999999994,0.8100000000000023,4.650000000000006,15.299999999999997,24.700000000000003,26.17,15.379999999999995,13.670000000000002,13.439999999999998,11.39,25.760000000000005,23.040000000000006,29.560000000000002,12.670000000000002,5.659999999999997,11.799999999999997,NA,-3.3799999999999955,16.870000000000005,20.83,NA,9.430000000000007,-0.3400000000000034,8.200000000000003,7.670000000000002,1.1500000000000057,7.299999999999997,5.3799999999999955
1987,15.799999999999997,14,19.17,8.459999999999994,13.579999999999998,19.28,17.409999999999997,6.430000000000007,17,22.310000000000002,32.93000000000001,26.739999999999995,18.810000000000002,14.170000000000002,12.829999999999998,23.58,-2.3700000000000045,NA,9.209999999999994,15.620000000000005,-0.52,1.4400000000000004,-1.8599999999999994,-0.4,NA,-0.42,1.75,-0.18000000000000016,19.409999999999997,22.46,24.1,12.11,18.67,5.069999999999993,3.930000000000007,-0.8499999999999943,-1.8299999999999983,-2.4599999999999937,7.069999999999993,19.930000000000007,12,3.1400000000000006,0.789999999999992,-8.829999999999998,5.800000000000011,-12.099999999999994,8.849999999999994,2.8100000000000023,6.650000000000006,NA,13.700000000000003,24.17,20.379999999999995,6.670000000000002,NA,16.39,7.760000000000005,19.040000000000006,12.560000000000002,21.67,21.659999999999997,11.799999999999997,18.459999999999994,NA,6.8700000000000045,10.829999999999998,30.08,15.430000000000007,12.659999999999997,17.200000000000003,11.670000000000002,24.150000000000006,5.299999999999997,11.379999999999995
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8299999999999983,-4.170000000000002,13.579999999999998,2.6299999999999955,5.400000000000006,11.209999999999994,10.620000000000005,-0.52,NA,NA,0.6,NA,0.5800000000000001,4.75,5.82,4.409999999999997,NA,12.100000000000001,27.11,5.670000000000002,NA,NA,NA,NA,NA,NA,NA,11,NA,-0.21000000000000796,-1.8299999999999983,19.80000000000001,0.9000000000000057,20.849999999999994,-0.18999999999999773,33.650000000000006,NA,14.700000000000003,17.17,-1.6200000000000045,-0.3299999999999983,NA,NA,NA,NA,NA,2.6700000000000017,NA,2.799999999999997,9.459999999999994,NA,9.870000000000005,-5.170000000000002,12.079999999999998,4.430000000000007,16.659999999999997,3.200000000000003,8.670000000000002,NA,NA,NA
1989,2.799999999999997,6,-2.8299999999999983,-11.540000000000006,-16.42,-8.719999999999999,-11.590000000000003,-7.569999999999993,-14,-9.689999999999998,-0.06999999999999318,-5.260000000000005,-7.189999999999998,-9.829999999999998,-11.170000000000002,-12.420000000000002,13.629999999999995,NA,-7.790000000000006,-1.3799999999999955,0.48,0.4400000000000004,-11.86,-0.4,7.619999999999999,-0.42,-0.25,-0.18000000000000016,-16.590000000000003,-10.54,-1.8999999999999986,-20.89,NA,-5.930000000000007,-18.069999999999993,-5.849999999999994,-16.83,-10.459999999999994,-9.930000000000007,4.930000000000007,-14,-0.8599999999999994,-10.210000000000008,-17.83,-31.19999999999999,-20.099999999999994,-7.150000000000006,-19.189999999999998,NA,-9.700000000000003,NA,5.170000000000002,1.3799999999999955,10.670000000000002,-3.5600000000000023,-4.609999999999999,13.760000000000005,6.040000000000006,1.5600000000000023,-2.3299999999999983,-10.340000000000003,-8.200000000000003,-3.5400000000000063,NA,-5.1299999999999955,-5.170000000000002,2.0799999999999983,-8.569999999999993,-9.340000000000003,-24.799999999999997,8.670000000000002,-10.849999999999994,-3.700000000000003,-8.620000000000005
1990,9.799999999999997,19,29.17,2.4599999999999937,1.5799999999999983,16.28,5.409999999999997,15.430000000000007,12,24.310000000000002,14.930000000000007,16.739999999999995,16.810000000000002,0.1700000000000017,6.829999999999998,16.58,19.629999999999995,NA,14.209999999999994,1.6200000000000045,-0.52,3.4400000000000004,3.1400000000000006,-0.4,19.619999999999997,0.5800000000000001,0.75,3.82,12.409999999999997,6.460000000000001,12.100000000000001,NA,NA,16.069999999999993,0.9300000000000068,10.150000000000006,6.170000000000002,16.540000000000006,10.069999999999993,NA,26,21.14,NA,-4.829999999999998,21.80000000000001,-32.099999999999994,18.849999999999994,NA,8.650000000000006,21.299999999999997,21.700000000000003,27.17,4.3799999999999955,15.670000000000002,NA,NA,13.760000000000005,NA,NA,3.6700000000000017,4.659999999999997,7.799999999999997,15.459999999999994,9.620000000000005,3.8700000000000045,0.8299999999999983,16.08,-2.569999999999993,14.659999999999997,5.200000000000003,9.670000000000002,14.150000000000006,20.299999999999997,12.379999999999995
1991,10.799999999999997,9,22.17,2.4599999999999937,6.579999999999998,9.280000000000001,15.409999999999997,-0.5699999999999932,4,11.310000000000002,15.930000000000007,16.739999999999995,NA,8.170000000000002,12.829999999999998,12.579999999999998,1.6299999999999955,NA,5.209999999999994,7.6200000000000045,-0.52,1.4400000000000004,13.14,0.6,39.62,1.58,1.75,10.82,17.409999999999997,9.46,24.1,22.11,5.670000000000002,-9.930000000000007,-0.06999999999999318,1.1500000000000057,0.1700000000000017,-2.4599999999999937,10.069999999999993,10.930000000000007,1,13.14,-5.210000000000008,-3.8299999999999983,-1.1999999999999886,-11.099999999999994,7.849999999999994,-16.189999999999998,-0.3499999999999943,1.2999999999999972,NA,12.170000000000002,18.379999999999995,15.670000000000002,25.439999999999998,NA,5.760000000000005,NA,NA,16.67,16.659999999999997,13.799999999999997,16.459999999999994,7.6200000000000045,7.8700000000000045,5.829999999999998,16.08,NA,11.659999999999997,8.200000000000003,17.67,-4.849999999999994,13.299999999999997,1.3799999999999955
1992,7.799999999999997,15,23.17,10.459999999999994,-9.420000000000002,3.280000000000001,5.409999999999997,27.430000000000007,5,25.310000000000002,5.930000000000007,1.7399999999999949,0.8100000000000023,9.170000000000002,17.83,-4.420000000000002,13.629999999999995,9.400000000000006,8.209999999999994,17.620000000000005,-0.52,18.44,15.14,-0.4,21.619999999999997,5.58,10.75,NA,5.409999999999997,12.46,8.100000000000001,16.11,5.670000000000002,8.069999999999993,-4.069999999999993,18.150000000000006,10.170000000000002,12.540000000000006,-4.930000000000007,13.930000000000007,8,2.1400000000000006,-2.210000000000008,-1.8299999999999983,5.800000000000011,29.900000000000006,1.8499999999999943,NA,NA,2.299999999999997,20.700000000000003,25.17,-6.6200000000000045,7.670000000000002,3.4399999999999977,23.39,16.760000000000005,16.040000000000006,18.560000000000002,12.670000000000002,2.6599999999999966,12.799999999999997,14.459999999999994,7.6200000000000045,25.870000000000005,5.829999999999998,25.08,NA,8.659999999999997,9.200000000000003,15.670000000000002,9.150000000000006,8.299999999999997,2.3799999999999955
1993,-5.200000000000003,-1,22.17,16.459999999999994,2.5799999999999983,22.28,15.409999999999997,16.430000000000007,23,17.310000000000002,12.930000000000007,21.739999999999995,15.810000000000002,3.1700000000000017,14.829999999999998,19.58,8.629999999999995,4.400000000000006,11.209999999999994,13.620000000000005,-0.52,-4.56,13.14,-0.4,10.62,-0.42,15.75,NA,20.409999999999997,24.46,23.1,22.11,19.67,11.069999999999993,10.930000000000007,11.150000000000006,16.17,18.540000000000006,17.069999999999993,29.930000000000007,12,13.14,7.789999999999992,-8.829999999999998,-7.199999999999989,17.900000000000006,25.849999999999994,NA,27.650000000000006,9.299999999999997,29.700000000000003,30.17,-2.6200000000000045,8.670000000000002,10.439999999999998,19.39,23.760000000000005,13.040000000000006,16.560000000000002,5.670000000000002,22.659999999999997,11.799999999999997,18.459999999999994,NA,7.8700000000000045,5.829999999999998,23.08,10.430000000000007,22.659999999999997,26.200000000000003,12.670000000000002,4.150000000000006,9.299999999999997,11.379999999999995
1994,22.799999999999997,7,36.17,19.459999999999994,11.579999999999998,8.280000000000001,22.409999999999997,17.430000000000007,28,41.31,41.93000000000001,24.739999999999995,19.810000000000002,10.170000000000002,13.829999999999998,33.58,9.629999999999995,11.400000000000006,6.209999999999994,13.620000000000005,1.48,1.4400000000000004,31.14,2.6,27.619999999999997,3.58,15.75,3.82,35.41,35.46,26.1,34.11,27.67,2.069999999999993,5.930000000000007,16.150000000000006,11.170000000000002,8.540000000000006,18.069999999999993,33.93000000000001,6,18.14,1.789999999999992,2.1700000000000017,-7.199999999999989,NA,17.849999999999994,12.810000000000002,11.650000000000006,6.299999999999997,16.700000000000003,26.17,11.379999999999995,2.6700000000000017,16.439999999999998,17.39,13.760000000000005,20.040000000000006,19.560000000000002,19.67,23.659999999999997,11.799999999999997,8.459999999999994,11.620000000000005,16.870000000000005,16.83,17.08,23.430000000000007,24.659999999999997,24.200000000000003,19.67,9.150000000000006,1.2999999999999972,12.379999999999995
1995,-2.200000000000003,-11,-2.8299999999999983,-23.540000000000006,-22.42,-5.719999999999999,-4.590000000000003,-5.569999999999993,-2,6.310000000000002,14.930000000000007,-7.260000000000005,-10.189999999999998,-4.829999999999998,2.8299999999999983,6.579999999999998,-14.370000000000005,-5.599999999999994,-15.790000000000006,-15.379999999999995,-0.52,-0.5599999999999996,8.14,0.6,21.619999999999997,1.58,3.75,NA,NA,-7.539999999999999,-3.8999999999999986,3.1099999999999994,-20.33,-22.930000000000007,-24.069999999999993,-2.8499999999999943,-7.829999999999998,-7.459999999999994,3.069999999999993,9.930000000000007,-10,3.1400000000000006,-8.210000000000008,-23.83,NA,-15.099999999999994,3.8499999999999943,13.810000000000002,2.6500000000000057,-6.700000000000003,NA,4.170000000000002,1.3799999999999955,-10.329999999999998,-6.560000000000002,-8.61,-7.239999999999995,-4.959999999999994,-13.439999999999998,2.6700000000000017,-1.3400000000000034,-14.200000000000003,NA,-27.379999999999995,-3.1299999999999955,-12.170000000000002,-0.9200000000000017,-14.569999999999993,0.6599999999999966,-11.799999999999997,-6.329999999999998,18.150000000000006,-4.700000000000003,4.3799999999999955
1996,0.7999999999999972,-6,1.1700000000000017,-9.540000000000006,-12.420000000000002,-9.719999999999999,-12.590000000000003,-1.5699999999999932,2,-0.6899999999999977,10.930000000000007,-8.260000000000005,-25.189999999999998,NA,-1.1700000000000017,NA,-7.3700000000000045,-9.599999999999994,NA,-4.3799999999999955,-0.52,4.44,-0.8599999999999994,-0.4,6.619999999999999,-0.42,-2.25,NA,5.409999999999997,-1.5399999999999991,5.100000000000001,-7.890000000000001,NA,-26.930000000000007,-22.069999999999993,-10.849999999999994,-17.83,-11.459999999999994,-9.930000000000007,-8.069999999999993,-25,-0.8599999999999994,-24.210000000000008,-24.83,NA,-14.099999999999994,-6.150000000000006,-6.189999999999998,NA,-10.700000000000003,NA,16.17,-2.6200000000000045,-6.329999999999998,-5.560000000000002,-2.6099999999999994,-14.239999999999995,6.040000000000006,2.5600000000000023,3.6700000000000017,2.6599999999999966,-2.200000000000003,0.45999999999999375,NA,3.8700000000000045,-11.170000000000002,NA,0.4300000000000068,3.6599999999999966,-2.799999999999997,8.670000000000002,-16.849999999999994,-4.700000000000003,-21.620000000000005
